budget,Novel Adaptation,popularity,release_date,revenue,runtime,title,vote_average
63000000,Yes,146.757391,1999,100853753,139,Fight Club,8.3
22000000,Yes,104.469351,1993,321365567,195,Schindler's List,8.3
25000000,Yes,136.747729,1994,28341469,142,The Shawshank Redemption,8.5
13000000,Yes,105.792936,1974,47542841,200,The Godfather: Part II,8.3
8000000,No,121.463076,1994,213928762,154,Pulp Fiction,8.3
6000000,Yes,143.659698,1972,245066411,175,The Godfather,8.4
3300000,No,192.528841,2014,13092000,105,Whiplash,8.3
